Bread,13.96
Bread,6.98
Bread,8.14
Dairy,1.55
Dairy,13.57
Dairy,4.69
Dairy,5.22
Bread,9.22
Bread,3.97
Bread,2.16
Bread,5.03
Bread,12.69
Dairy,10.41
Dairy,3.19
Dairy,1.30
Dairy,14.45
Dairy,7.00
Bread,14.44
Bread,8.42
Bread,12.87
Bread,6.69
Bread,1.99
Bread,7.77
Bread,12.37
Delci,9.28
Dairy,11.73
Dairy,13.83
Bread,13.38
Dairy,14.41
Bread,10.44
Bread,9.53
Delci,8.34
Bread,4.90
Bread,14.26
Dairy,2.54
Dairy,5.84
Squirrels,5.76
Bread,4.07
Dairy,14.76
Dairy,7.17
Dairy,13.12
Bread,12.07
Bread,12.52
Bread,7.47
Bread,0.98
Bread,2.17
Dairy,8.70
Bread,1.95
Fluffy,4.86
Bread,Squirrels
Dairy,5.04
Bread,13.18
Bread,5.99
Dairy,3.76
Dairy,3.16
Dairy,1.36
Dairy,1.25
Dairy,Fluffy
Dairy,1.36
Bread,3.48
Dairy,14.74
Squirrels,13.15
Bread,14.68
Bread,12.34
Bread,13.71
Bread,12.31
Bread,Delci
Dairy,12.88
Dairy,3.63
Bread,5.40
Dairy,5.09
Dairy,2.45
Dairy,2.32
Dairy,10.93
Bread,7.54
Dairy,2.09
Bread,5.57
Dairy,6.78
Dairy,12.89
Dairy,3.66
Dairy,4.71
Bread,3.42
Dairy,10.78
Bread,9.19
Bread,8.28
Dairy,6.41
Dairy,4.55
Bread,13.90
Bread,2.98
Bread,4.84
Dairy,Squirrels
Bread,11.98
Dairy,2.88
Bread,0.87
Bread,14.82
Bread,3.25
Dairy,7.53
Dairy,9.48
Dairy,4.85
Delci,2.92
Dairy,1.93
Bread,6.40
Dairy,13.48
Bread,8.92
Bread,Squirrels
Dairy,7.76
Dairy,10.33
Bread,Fluffy
Squirrels,13.94
Bread,8.31
Dairy,11.55
Bread,2.83
Dairy,8.00
Bread,Squirrels
Bread,3.40
Bread,3.25
Dairy,1.09
Delci,2.23
Bread,13.77
Bread,Fluffy
Bread,6.07
Dairy,9.50
Bread,8.64
Bread,6.23
Bread,13.58
Dairy,2.53
Bread,3.14
Bread,Fluffy
Bread,0.95
Dairy,7.59
Bread,11.07
Dairy,3.08
Bread,14.22
Dairy,14.94
Dairy,1.27
Dairy,5.66
Bread,7.93
Dairy,10.59
Dairy,10.75
Dairy,9.99
Squirrels,4.10
Squirrels,7.63
Dairy,4.91
Bread,11.43
Dairy,12.43
Dairy,6.40
Dairy,4.62
Bread,11.83
Delci,7.97
Dairy,13.34
Dairy,Fluffy
Dairy,5.51
Bread,14.52
Dairy,5.79
Bread,4.27
Dairy,3.55
Dairy,2.75
Bread,12.48
Dairy,14.02
Dairy,6.26
Bread,11.40
Dairy,10.01
Dairy,14.34
Dairy,1.97
Dairy,Squirrels
Bread,9.25
Dairy,Squirrels
Dairy,6.78
Bread,Fluffy
Dairy,Squirrels
Bread,5.28
Bread,1.97
Bread,12.72
Bread,6.69
Dairy,6.34
Dairy,8.63
Dairy,0.91
Dairy,13.10
Squirrels,11.46
Bread,1.53
Dairy,11.16
Dairy,5.41
Dairy,2.36
Fluffy,14.49
Dairy,3.89
Bread,8.64
Dairy,5.03
Squirrels,3.60
Dairy,12.51
Dairy,1.30
Dairy,5.63
Dairy,4.14
Dairy,3.90
Dairy,5.47
Bread,3.93
Bread,4.89
Fluffy,3.34
Dairy,3.41
Bread,2.96
Dairy,6.44
Dairy,14.03
Dairy,6.25
Bread,8.67
Fluffy,12.21
Bread,7.86
Bread,3.68
Dairy,2.58
Dairy,10.20
Bread,13.03
Bread,2.97
Bread,9.62
Bread,Squirrels
Bread,2.13
Bread,Squirrels
Bread,11.70
Bread,12.06
Bread,9.39
Dairy,5.99
Bread,7.33
Dairy,11.27
Fluffy,3.00
Bread,7.66
Dairy,7.86
Dairy,6.03
Dairy,11.14
Dairy,11.69
Dairy,1.73
Bread,13.60
Dairy,5.65
Dairy,3.68
Bread,2.10
Dairy,5.42
Bread,1.92
Bread,12.87
Bread,8.52
Dairy,5.81
Bread,1.21
Dairy,12.20
Dairy,14.11
Dairy,10.97
Bread,4.15
Bread,6.62
Dairy,7.04
Bread,6.64
Bread,5.99
Dairy,7.28
Dairy,3.28
Delci,10.55
Bread,11.34
Dairy,1.34
Dairy,12.50
Bread,1.86
Dairy,14.10
Bread,3.48
Bread,Fluffy
Bread,13.44
Bread,4.41
Bread,3.48
Dairy,Fluffy
Dairy,2.44
Bread,10.60
Dairy,7.35
Dairy,8.74
Bread,12.41
Bread,6.08
Bread,Fluffy
Bread,4.33
Dairy,3.36
Dairy,5.69
Bread,12.78
Dairy,11.29
Bread,12.41
Dairy,1.06
Bread,9.68
Bread,11.65
Bread,9.56
Dairy,12.33
Dairy,5.23
Bread,10.96
Dairy,12.55
Bread,5.85
Bread,5.65
Dairy,5.32
Dairy,9.87
Dairy,2.71
Delci,14.58
Dairy,5.21
Dairy,2.16
Bread,4.71
Bread,6.85
Delci,5.40
Bread,8.31
Dairy,10.88
Bread,7.89
Dairy,14.40
Bread,Delci
Bread,Squirrels
Bread,4.48
Bread,7.51
Bread,7.84
Dairy,11.12
Dairy,1.81
Bread,9.20
Squirrels,6.42
Bread,12.14
Bread,13.23
Bread,Fluffy
Bread,5.26
Dairy,6.87
Dairy,3.48
Dairy,2.64
Dairy,Delci
Dairy,4.78
Dairy,8.78
Bread,13.55
Dairy,11.54
Dairy,4.17
Dairy,11.52
Bread,10.24
Dairy,13.15
Dairy,6.17
Dairy,10.48
Bread,14.51
Dairy,Delci
Dairy,13.52
Bread,14.34
Dairy,7.99
Dairy,8.09
Dairy,6.33
Dairy,14.91
Bread,5.28
Dairy,14.49
Dairy,5.94
Bread,5.57
Dairy,6.03
Dairy,8.50
Dairy,7.66
Bread,8.51
Bread,1.88
Bread,13.34
Dairy,3.62
Bread,3.27
Dairy,7.04
Bread,Delci
Bread,4.45
Bread,0.83
Bread,3.62
Bread,11.08
Dairy,4.02
Dairy,12.58
Dairy,4.51
Dairy,6.25
Bread,7.95
Squirrels,1.40
Bread,7.53
Bread,0.83
Bread,8.46
Bread,5.15
Dairy,9.85
Dairy,8.53
Dairy,2.68
Fluffy,9.19
Squirrels,11.09
Bread,0.96
Fluffy,10.87
Bread,9.14
Dairy,3.52
Bread,13.59
Bread,Fluffy
Dairy,12.06
Dairy,9.82
Dairy,2.36
Dairy,3.86
